waveform	Ch0		Gen	
t0	3/17/2021  13:06:45.102783		3/17/2021  13:06:45.102785	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
3/17/2021  13:06:45.103953	-2.222096E+0	3/17/2021  13:06:45.103955	-2.807304E-3
3/17/2021  13:06:45.103958	-2.257597E+0	3/17/2021  13:06:45.103960	-2.481609E-3
3/17/2021  13:06:45.103963	-2.289189E+0	3/17/2021  13:06:45.103965	-2.807304E-3
3/17/2021  13:06:45.103968	-2.319805E+0	3/17/2021  13:06:45.103970	-1.830218E-3
3/17/2021  13:06:45.103973	-2.347489E+0	3/17/2021  13:06:45.103975	-2.481609E-3
3/17/2021  13:06:45.103978	-2.372893E+0	3/17/2021  13:06:45.103980	-2.155913E-3
3/17/2021  13:06:45.103983	-2.397646E+0	3/17/2021  13:06:45.103985	-2.155913E-3
3/17/2021  13:06:45.103988	-2.418490E+0	3/17/2021  13:06:45.103990	-2.807304E-3
3/17/2021  13:06:45.103993	-2.436078E+0	3/17/2021  13:06:45.103995	-2.807304E-3
3/17/2021  13:06:45.103998	-2.453340E+0	3/17/2021  13:06:45.104000	-2.155913E-3
3/17/2021  13:06:45.104003	-2.467996E+0	3/17/2021  13:06:45.104005	-3.133000E-3
3/17/2021  13:06:45.104008	-2.479395E+0	3/17/2021  13:06:45.104010	-1.830218E-3
3/17/2021  13:06:45.104013	-2.487863E+0	3/17/2021  13:06:45.104015	-2.481609E-3
3/17/2021  13:06:45.104018	-2.495029E+0	3/17/2021  13:06:45.104020	-3.133000E-3
3/17/2021  13:06:45.104023	-2.498611E+0	3/17/2021  13:06:45.104025	-2.481609E-3
3/17/2021  13:06:45.104028	-2.501217E+0	3/17/2021  13:06:45.104030	-2.807304E-3
3/17/2021  13:06:45.104033	-2.499914E+0	3/17/2021  13:06:45.104035	-3.133000E-3
3/17/2021  13:06:45.104038	-2.496332E+0	3/17/2021  13:06:45.104040	-2.807304E-3
3/17/2021  13:06:45.104043	-2.490143E+0	3/17/2021  13:06:45.104045	-2.155913E-3
3/17/2021  13:06:45.104048	-2.482652E+0	3/17/2021  13:06:45.104050	-3.458695E-3
3/17/2021  13:06:45.104053	-2.471579E+0	3/17/2021  13:06:45.104055	-2.481609E-3
3/17/2021  13:06:45.104058	-2.458551E+0	3/17/2021  13:06:45.104060	-2.807304E-3
3/17/2021  13:06:45.104063	-2.443569E+0	3/17/2021  13:06:45.104065	-2.155913E-3
3/17/2021  13:06:45.104068	-2.425656E+0	3/17/2021  13:06:45.104070	-2.155913E-3
3/17/2021  13:06:45.104073	-2.404485E+0	3/17/2021  13:06:45.104075	-2.481609E-3
3/17/2021  13:06:45.104078	-2.381361E+0	3/17/2021  13:06:45.104080	-2.481609E-3
3/17/2021  13:06:45.104083	-2.357260E+0	3/17/2021  13:06:45.104085	-2.155913E-3
3/17/2021  13:06:45.104088	-2.329576E+0	3/17/2021  13:06:45.104090	-3.133000E-3
3/17/2021  13:06:45.104093	-2.299612E+0	3/17/2021  13:06:45.104095	-3.133000E-3
3/17/2021  13:06:45.104098	-2.267368E+0	3/17/2021  13:06:45.104100	-2.481609E-3
3/17/2021  13:06:45.104103	-2.233170E+0	3/17/2021  13:06:45.104105	-2.807304E-3
3/17/2021  13:06:45.104108	-2.197343E+0	3/17/2021  13:06:45.104110	-3.133000E-3
3/17/2021  13:06:45.104113	-2.158585E+0	3/17/2021  13:06:45.104115	-2.481609E-3
3/17/2021  13:06:45.104118	-2.118851E+0	3/17/2021  13:06:45.104120	-3.458695E-3
3/17/2021  13:06:45.104123	-2.075533E+0	3/17/2021  13:06:45.104125	-2.807304E-3
3/17/2021  13:06:45.104128	-2.030261E+0	3/17/2021  13:06:45.104130	-2.155913E-3
3/17/2021  13:06:45.104133	-1.983687E+0	3/17/2021  13:06:45.104135	-3.133000E-3
